WEPHOSTSVC,Manual
WerSvc,Manual
Wecsvc,Manual
EventLog,Automatic
FontCache,Automatic
StiSvc,Manual
wisvc,Disabled 
msiserver,Manual
LicenseManager,Manual
Winmgmt,Automatic
WMPNetworkSvc,Disabled  
icssvc,Disabled 
TrustedInstaller,Manual
spectrum,Manual
FontCache3.0.0.0,Not Installed
WAS,Not Installed
WpnService,Automatic
WpnUserService_?????,Automatic
PushToInstall,Manual
WinRM,Disabled 
WSearch,Automatic 
W32Time,Manual
wuauserv,Manual
WaaSMedicSvc,Manual
WinHttpAutoProxySvc,Manual
dot3svc,Manual
WlanSvc,Manual
wmiApSrv,Manual
workfolderssvc,Uninstalled 
LanmanWorkstation,Automatic
W3SVC,Not Installed
WwanSvc,Disabled 
XboxGipSvc,Manual
xbgm,Manual
XblAuthManager,Disabled 
XblGameSave,Disabled 
XboxNetApiSvc,Disabled 
